ID,Creation time,Notes,Dev Internal,Name,Blocked,Regression,Story points,Owner,Phase,Severity,Sprint
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180341"",""180341"")",Fri Aug 31 18:02:51 UTC 2018,Low priority,No,"[UFT Web burst][RnR]In RnR Settings, There is no timeout when HPE SRF browser is not loaded",No,Version Regression,1,'Yun-Sheng Liu',Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180326"",""180326"")",Fri Aug 31 17:09:24 UTC 2018,,No,[UFT Web burst]The RnR setting dialog will disapear when select item,No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180343"",""180343"")",Fri Aug 31 18:07:57 UTC 2018,,No,[UFT web burst] UFT is taking the screenshot for the steps which will trigger navigation action before the navigation action finished.,No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=181340"",""181340"")",Fri Aug 31 17:02:58 UTC 2018,,No,"[UFT Web Burst]""Unspecfic error"" occured when run browser.Handledialog micOK",No,Escaped Defect,,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180330"",""180330"")",Fri Aug 31 17:37:56 UTC 2018,P2,No,Very long test object description is generated during record in SRF for specific web elements,No,Escaped Defect,1,Motti Lanzkron,Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=133157"",""133157"")",Fri Feb 10 08:00:00 UTC 2017,,No,[CRUD Application Area][Mobile] New application area is created with Mobile settings of previously created Application area,No,Escaped Defect,,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=138590"",""138590"")",Wed Jul 22 08:00:00 UTC 2015,,No,[Chrome Emulator] abs_x and abs_y value are incorrect for page related controls,No,,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=134994"",""134994"")",Mon Aug 22 08:00:00 UTC 2016,,No,"[Chrome Emulator, ASPAjax] Extra script was generated when recording on Calendar",No,,1,,Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=138731"",""138731"")",Mon Jul 27 08:00:00 UTC 2015,,No,[Chrome Emulator] Browser.Close action cannot be recorded,No,,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=137607"",""137607"")",Wed Jul 22 08:00:00 UTC 2015,,No,[Chrome Emulator] Extra css property in object property,No,,1,Jie Zhang (Sagi),Rejected,Medium,
