Weekly users over time
Date,Weekly users
5/8/24,17411
5/9/24,17274
5/10/24,16771
5/11/24,16584
5/12/24,16832
5/13/24,17027
5/14/24,16937
5/15/24,16783
5/16/24,16753
5/17/24,16408
5/18/24,16257
5/19/24,16522
5/20/24,16763
5/21/24,16699
5/22/24,16629
5/23/24,16539
5/24/24,15969
5/25/24,15669
5/26/24,15896
5/27/24,15952
5/28/24,16151
5/29/24,16081
5/30/24,16049
5/31/24,15592
6/1/24,15432
6/2/24,15680
6/3/24,15923
6/4/24,16044
6/5/24,15990
6/6/24,15971
6/7/24,15586
6/8/24,15473
6/9/24,15691
6/10/24,16044
6/11/24,16124
6/12/24,16052
6/13/24,15990
6/14/24,15541
6/15/24,15420
6/16/24,15737
6/17/24,16010
6/18/24,15941
6/19/24,15798
6/20/24,15651
6/21/24,15207
6/22/24,15025
6/23/24,15403
6/24/24,15709
6/25/24,15780
6/26/24,15756
6/27/24,15709
6/28/24,15275
6/29/24,15122
6/30/24,15327
7/1/24,15637
7/2/24,15735
7/3/24,15686
7/4/24,15530
7/5/24,15101
7/6/24,14952
7/7/24,15186
7/8/24,15482
7/9/24,15532
7/10/24,15501
7/11/24,15512
7/12/24,15200
7/13/24,15121
7/14/24,15408
7/15/24,15753
7/16/24,15722
7/17/24,15629
7/18/24,15549
7/19/24,15065
7/20/24,14909
7/21/24,15215
7/22/24,15601
7/23/24,15649
7/24/24,15773
7/25/24,15094
7/26/24,14880
7/27/24,14699
7/28/24,15016
7/29/24,15325
7/30/24,15413
